good news,7.935073405280961
middle school,7.7005638287625375
culture wars,7.506427481692913
performed,7.4650009701940006
filing,7.433045420518827
club,7.352632548075749
destroy,7.320676998400575
handled,7.186070281402796
aisle,7.1444298810567775
humanity,7.143196559192875
religious,7.097027679291266
alternative,6.945862677157917
prove,6.934298677564849
australia,6.934298677564849
announcing,6.877033203457458
sitting,6.8614648207227305
lawyers,6.830044325809763
catch,6.816629408710398
shall,6.761858541599555
liked,6.730119115356327
rock,6.697965720885457
stronger,6.6874785365485625
affirmation,6.677386228826554
near,6.6762493921926
2012,6.640773388344372
impacted,6.595756934345215
average,6.588235294117648
burden,6.588235294117648
largest,6.58295787095274
michigan,6.582534131931523
pain,6.576346391770087
workplace,6.569831477725033
concluded,6.563345915312139
promise,6.563345915312139
ups,6.547721316445114
mail,6.543298522539572
titles,6.543298522539572
disease,6.525961763178727
flying,6.516274677923045
belgium,6.4703561762664386
debt,6.457074914104882
frustration,6.4550198525593885
catholic faith,6.431802365150045
advanced,6.431802365150044
limitations,6.410083080981312
era,6.392746321620468
chosen,6.392746321620468
cancellation,6.36323213604041
theme,6.36323213604041
resolution,6.347270309154818
underway,6.341599441839047
worth,6.338876598456743
school board meeting,6.3373727937358595
assembly,6.321804411001129
passing,6.31301846969256
larger,6.307788439174494
bailey,6.292436022157782
imprisoned,6.292436022157782
formed,6.26859516939965
affect,6.26115345995161
surrounded,6.239980324216741
throwing,6.224148528817872
happiness,6.223952383015518
yelled,6.208384000280787
visit,6.16423464539957
navy,6.158322392128283
resume,6.158322392128283
everyone ’,6.158322392128283
contract,6.158322392128283
gaines said,6.158322392128282
intent,6.15745220397341
apartment,6.143506401128081
decrease,6.11764705882353
late,6.11764705882353
parties,6.099243242430915
hospitals,6.099243242430913
drag performances,6.072710287245453
organization ’,6.072710287245452
somewhere,6.072710287245452
resignation,6.062204575497982
security,6.05537352788461
bottom,6.049472724494589
weigh,6.039805145149881
mentioned,6.039805145149881
runs,6.03980514514988
goals,6.037474471383852
toll,6.025859342304552
necessarily,6.014713753475364
moms,6.004686206569683
expert,6.004686206569682
ball,6.004686206569681
rich,6.000000000000001
receives,6.0
fame,5.997164566342113
witness,5.96886323453054
episode,5.955066183897799
triggering,5.955063228421923
june 2021,5.9498361533797315
great thing,5.949836153379731
likes,5.928880881249997
singer,5.926580880231893
arguments,5.908212283481023
sued,5.908212283481022
nevada,5.8898745814040385
99,5.886775735082013
republican governor,5.871011206544928
transferred,5.871011206544927
physician,5.866784558441739
orlando,5.863949124783855
black people,5.855442823810199
results,5.851216175707012
effects,5.851216175707011
ultimately,5.841841918979811
girlfriend,5.841838963503936
rejection,5.837416169598395
driver,5.837416169598394
may 17,5.837416169598394
zero,5.837416169598394
construction,5.837416169598394
artist,5.829693465337831
lgbtq issues,5.8277983062503225
profit,5.820079410237551
fentanyl,5.811288814459774
secure,5.7928835302782815
simple,5.790565224657493
brain,5.780150581201437
campaigning,5.772227522580509
expense,5.77193147219063
pediatrics,5.771931472190629
journal,5.764705882352942
names,5.764705882352942
suffer,5.764705882352941
facilities,5.764705882352941
strive,5.762051465073512
institutions,5.761870448695055
scientific,5.7566591398457785
billions,5.756659139845778
fed,5.756659139845778
p,5.753560293523754
netflix,5.750023377039692
paper,5.746302065960326
dedicated,5.746302065960326
comfortable,5.746302065960325
mark,5.735130113159345
talked,5.728790400743138
fit,5.728790400743138
contest,5.719769110774866
opponent,5.719769110774865
miami,5.704252289703221
insight,5.704252289703221
pearson,5.704252289703221
declare,5.693586763602938
feel safe,5.680806843677297
elsewhere,5.6729181658339645
users,5.672918165833964
ceremony,5.665238460942567
struggles,5.662449998133478
games,5.654580463756979
maine,5.647058823529413
benefits,5.647058823529411
human beings,5.646935139643177
swimming,5.644223389871527
chair,5.644223389871526
teenager,5.6442233898715255
school boards,5.640139882803412
camp,5.640139882803412
id,5.635717088897869
fulfill,5.635717088897869
blessed,5.635717088897869
banner,5.635717088897869
key,5.63307780104234
defined,5.631490440794683
vocal,5.631490440794683
58,5.631490440794682
higher education,5.631490440794681
features,5.631490440794681
league,5.63149044079468
representing,5.628836023515253
slow,5.628836023515253
31,5.626658200409909
outspoken,5.625536113160231
gun violence,5.624932823152964
reps,5.623640954072725
disappointing,5.623640954072724
limit,5.615922058059952
jan,5.615922058059951
state senate,5.589208086496035
vulnerable,5.584785292590493
nyc,5.584785292590493
path,5.584785292590493
f,5.562700785609736
israel,5.560371322044679
engaging,5.560371322044678
state law,5.560371322044677
charges,5.5575894126312235
throw,5.5522057372783005
drug,5.536933404933451
veterans,5.529411764705881
motivated,5.529411764705881
actress,5.526757347426453
